??:??:??  $GPGSV,3,1,10,03,30,129,34,06,56,277,47,11,24,297,40,14,48,020,46*74
??:??:??  $GPGSV,3,2,10,17,60,136,48,19,59,198,46,20,03,336,35,28,,,41*49
??:??:??  $GPGSV,3,3,10,36,48,022,45,49,48,337,45*77
??:??:??  $GLGSV,3,1,09,65,00,162,,66,24,113,30,67,21,057,25,79,31,348,41*6F
??:??:??  $GLGSV,3,2,09,80,52,264,,81,26,134,34,82,51,195,40,83,32,255,30*62
??:??:??  $GLGSV,3,3,09,,,,27*69
17:54:02  $GNGLL,3352.55929,S,01836.68946,E,175402.00,A,D*66
17:54:03  $GNRMC,175403.00,A,3352.55931,S,01836.68948,E,0.056,,190822,,,D*7A
17:54:03  $GNVTG,,T,,M,0.056,N,0.104,K,D*3E
17:54:03  $GNGGA,175403.00,3352.55931,S,01836.68948,E,2,11,0.94,226.3,M,31.2,M,,0000*5B
17:54:03  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.83*11
17:54:03  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.83*13
17:54:03  $GPGSV,3,1,10,03,30,129,33,06,56,277,44,11,24,297,40,14,48,020,44*72
17:54:03  $GPGSV,3,2,10,17,60,136,47,19,59,198,46,20,03,336,34,28,,,39*48
17:54:03  $GPGSV,3,3,10,36,48,022,45,49,48,337,46*74
17:54:03  $GLGSV,3,1,09,65,00,162,,66,24,113,34,67,21,057,28,79,31,348,39*69
17:54:03  $GLGSV,3,2,09,80,52,264,,81,26,134,35,82,51,195,42,83,32,255,30*61
17:54:03  $GLGSV,3,3,09,,,,27*69
17:54:03  $GNGLL,3352.55931,S,01836.68948,E,175403.00,A,D*60
17:54:04  $GNRMC,175404.00,A,3352.55933,S,01836.68949,E,0.062,,190822,,,D*79
17:54:04  $GNVTG,,T,,M,0.062,N,0.116,K,D*3A
17:54:04  $GNGGA,175404.00,3352.55933,S,01836.68949,E,2,11,0.94,226.2,M,31.2,M,,0000*5E
17:54:04  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:04  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:04  $GPGSV,3,1,10,03,30,129,34,06,56,277,47,11,24,297,37,14,48,020,44*76
17:54:04  $GPGSV,3,2,10,17,60,136,46,19,59,198,46,20,03,336,34,28,,,41*46
17:54:04  $GPGSV,3,3,10,36,48,022,45,49,48,337,45*77
17:54:04  $GLGSV,3,1,09,65,00,162,,66,24,113,32,67,21,057,28,79,31,348,41*60
17:54:04  $GLGSV,3,2,09,80,52,264,,81,26,134,38,82,51,195,41,83,32,255,30*6F
17:54:04  $GLGSV,3,3,09,,,,28*66
17:54:04  $GNGLL,3352.55933,S,01836.68949,E,175404.00,A,D*64
17:54:05  $GNRMC,175405.00,A,3352.55935,S,01836.68948,E,0.020,,190822,,,D*79
17:54:05  $GNVTG,,T,,M,0.020,N,0.038,K,D*31
17:54:05  $GNGGA,175405.00,3352.55935,S,01836.68948,E,2,11,0.94,226.2,M,31.2,M,,0000*58
17:54:05  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:05  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:05  $GPGSV,3,1,10,03,30,129,35,06,56,277,47,11,24,297,38,14,48,020,45*79
17:54:05  $GPGSV,3,2,10,17,60,136,44,19,59,198,46,20,03,336,34,28,,,41*44
17:54:05  $GPGSV,3,3,10,36,48,022,45,49,48,337,45*77
17:54:05  $GLGSV,3,1,09,65,00,162,,66,24,113,32,67,21,057,28,79,31,348,41*60
17:54:05  $GLGSV,3,2,09,80,52,264,,81,26,134,34,82,51,195,42,83,32,255,29*68
17:54:05  $GLGSV,3,3,09,,,,26*68
17:54:05  $GNGLL,3352.55935,S,01836.68948,E,175405.00,A,D*62
17:54:06  $GNRMC,175406.00,A,3352.55936,S,01836.68947,E,0.162,,190822,,,D*71
17:54:06  $GNVTG,,T,,M,0.162,N,0.300,K,D*3E
17:54:06  $GNGGA,175406.00,3352.55936,S,01836.68947,E,2,11,0.94,226.1,M,31.2,M,,0000*54
17:54:06  $GNGSA,A,3,06,03,14,17,19,11,,,,,,,2.06,0.94,1.84*16
17:54:06  $GNGSA,A,3,82,81,79,67,66,,,,,,,,2.06,0.94,1.84*14
17:54:06  $GPGSV,3,1,10,03,30,129,32,06,56,277,47,11,24,297,37,14,48,020,43*77
